% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
34 +6.271091341e+02 +6.271091341e+02 +9.088491341e+02 +9.088491341e+02 +4.6827e+00 +1.8407e+00 +1.7473e+00 -5.3264e-01 +1.7466e+00 -2.5499e+00 +1.3260e+00 -2.8193e+00 +1.8599e+00 +3.0063e+00 +2.7445e+00 -4.1020e-02 -2.9513e+00 +3.2225e+00 +1.8030e+00 -3.6206e-01 +3.0386e+00 -2.4042e-01 +3.5999e+00 +1.1235e+00
159 +3.484204831e+02 +3.484204831e+02 +6.301604831e+02 +6.301604831e+02 +6.5617e-01 -7.6423e-01 -1.1791e+00 -1.7463e+00 +2.2602e+00 -5.3823e-01 +4.8770e-01 -1.5563e+00 +7.2578e-01 -4.4527e-01 +2.0967e+00 -2.3782e+00 +2.3521e-01 -1.1586e+00 -1.8536e+00 -1.0324e+00 -1.1809e+00 -8.8285e-01 -1.1481e-02 +3.1831e-01
259 +2.505511888e+02 +2.505511888e+02 +5.322911888e+02 +5.322911888e+02 -2.3237e-01 -8.8226e-02 +1.8546e+00 +1.6039e+00 +1.6679e+00 +1.3600e-01 +1.1850e+00 -1.7375e+00 +9.9572e-01 -4.3592e-02 +2.8620e+00 -2.5092e-02 -8.1616e-01 -2.1155e+00 +3.4492e-01 +1.2909e+00 -2.0123e+00 +5.2675e-01 -6.5715e-01 -3.5134e-01
1374 +1.406230614e+02 +1.406230614e+02 +4.223630614e+02 +4.223630614e+02 -2.1416e+00 -2.4105e+00 +1.8450e+00 +3.7724e-01 -9.0445e-02 -1.3027e+00 +1.4395e+00 -1.1433e+00 -1.0289e+00 +1.2137e-01 +1.4909e+00 +5.2316e-01 -1.1121e+00 -6.1178e-01 -1.7332e+00 +2.1935e-01 -1.6028e+00 -9.3605e-01 -2.0490e+00 +4.8829e-01
% function evaluation | noise-free fitness - Fopt (7.814000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.333174803e+02 +5.333174803e+02 +6.114574803e+02 +6.114574803e+02 -3.2477e+00 +3.8343e-01 -2.5001e+00 -1.0614e+00 +2.1885e-01 -1.7266e+00 -1.1172e+00 +3.9039e-01 -2.0901e+00 -8.6307e-02 -3.3338e-01 +2.0204e+00 -3.9046e+00 +2.8549e+00 +3.5198e+00 -2.7251e+00 -9.8048e-01 +3.8724e+00 +5.0706e-01 +3.1013e+00
141 +3.459313614e+02 +3.459313614e+02 +4.240713614e+02 +4.240713614e+02 -2.8431e+00 +6.0385e-01 -2.7743e+00 +4.0609e-01 +2.9628e-01 -5.7761e-01 +1.2476e+00 +2.5223e+00 -2.2721e+00 -2.1271e+00 -1.7789e+00 -2.9080e-02 -2.5452e+00 +2.7125e+00 +7.0738e-01 -9.1763e-02 -1.1810e+00 +2.6137e+00 -1.3837e+00 +1.6891e+00
300 +2.285279673e+02 +2.285279673e+02 +3.066679673e+02 +3.066679673e+02 -1.8080e+00 -1.1326e+00 -9.5154e-01 +2.8544e+00 -1.4693e+00 -1.7445e+00 +1.4109e+00 +2.6072e+00 +1.2869e+00 +2.5061e+00 -3.4694e+00 -1.7244e+00 -2.1299e+00 +4.3537e-02 +1.0798e+00 +4.9084e-01 +9.2997e-01 +2.0527e+00 -3.0866e+00 +1.7008e+00
760 +1.521132198e+02 +1.521132198e+02 +2.302532198e+02 +2.302532198e+02 -8.6780e-01 -7.4354e-01 -1.4840e+00 +4.1842e-01 -1.4842e+00 -2.3368e-01 +1.4061e+00 +1.1422e+00 +2.8577e+00 +1.2425e+00 -1.2534e+00 -1.4146e+00 -1.9471e+00 +1.5483e+00 -1.8105e+00 -1.8902e+00 +1.6961e+00 +3.0609e+00 -1.7122e+00 +1.0315e+00
% function evaluation | noise-free fitness - Fopt (-2.405100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.405456721e+02 +8.405456721e+02 +6.000356721e+02 +6.000356721e+02 -2.4305e+00 -2.8171e+00 +2.3555e+00 +1.6274e+00 +3.0138e+00 +2.5243e+00 +3.1240e+00 +1.1385e+00 +3.4216e+00 +2.7923e+00 -1.1229e+00 -3.4996e+00 -2.1620e+00 -3.2097e+00 -3.4925e+00 +5.0909e-01 +3.8417e+00 +3.5670e+00 -3.4891e+00 -3.7998e+00
63 +5.912235732e+02 +5.912235732e+02 +3.507135732e+02 +3.507135732e+02 -1.5593e+00 -2.2279e+00 +5.7195e-01 +3.7140e+00 -1.6230e+00 +1.0612e+00 +2.7445e-01 +5.2429e-01 -1.2386e+00 +3.2087e+00 -3.5409e+00 -3.9454e+00 +3.4019e-01 -2.1836e+00 -1.8103e+00 -5.5372e-01 +2.8682e+00 +4.5137e+00 -5.1471e-01 -3.8372e+00
